district,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,HDI_2019,HDI_2020,HDI_2021,HDI_2022,HDI_2023,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
Sarolangun,64.64,65.2,66.16,67.13,67.67,68.1,68.73,69.03,69.41,69.72,69.86,70.25,70.89,71.29,43.90152859,46.12602284,45.84586768,46.28308559,46.69282899,47.1478057,47.57712325,47.98560484,48.39521486,51.32331425,51.72782898,50.25264269,50.77316247,51.17543235
Sawah Lunto City,67.55,67.97,68.59,69.07,69.61,69.87,70.67,71.13,71.72,72.39,72.64,72.88,73.73,74.42,,,,,,,,,,,,,,
Sekadau,59.42,59.76,60.14,61.02,61.98,62.34,62.52,63.04,63.69,64.34,64.76,64.93,65.58,66.33,30.39861557,28.51740244,29.08393565,29.50807239,30.10527955,30.45257665,30.5483397,30.81944995,31.2322812,32.32505685,32.56130897,41.80996448,41.8782507,42.17377341
Seluma,60.27,61.01,61.55,62.1,62.94,63.41,64.04,65,65.99,66.69,66.89,67.03,67.76,68.27,56.46944789,47.74422943,48.76453004,49.29950783,50.08759857,49.93058288,50.3676026,50.81031448,51.49128466,52.2769643,52.70719446,89.00219907,90.74207925,91.52813742
Semarang,69.58,70.35,70.88,71.29,71.65,71.89,72.4,73.2,73.61,74.14,74.1,74.24,74.67,75.13,1006.595744,915.6268542,927.3704948,936.7443831,947.4744258,956.1347656,944.9168433,953.2054194,963.018218,921.3914872,928.7339701,1136.941083,1156.710092,1165.660862
Semarang City,76.96,77.58,78.04,78.68,79.24,80.23,81.19,82.01,82.72,83.19,83.05,83.55,84.08,84.43,,,,,,,,,,,,,,
Seram Bagian Barat,59.9,60.59,61.47,61.79,62.39,63.02,63.76,64.34,65.14,65.49,65.62,65.83,66.67,67.56,34.6840927,38.87210584,39.53457654,39.9290212,40.29658743,40.28509518,40.62101406,40.93461115,39.77733154,41.54730901,39.3890979,29.53151186,28.41021376,28.60614673
Seram Bagian Timur,57.88,58.07,58.47,58.88,59.5,60.27,61.15,62.06,62.98,63.74,64.12,64.3,65.05,65.82,15.00237782,16.68746401,16.92835852,17.13710897,17.52709146,17.99798245,18.08465635,18.18261359,16.45402672,17.06625796,15.21992161,15.25178459,14.40563056,14.77956757
Serang,60.96,61.97,62.97,63.57,63.97,64.61,65.12,65.6,65.93,66.38,66.7,66.82,67.75,68.39,1019.666528,1175.278344,1160.10799,1171.83859,1189.37583,1200.193696,1209.09374,1219.506596,1228.610148,1308.806962,1318.994539,1098.694349,1103.044296,1111.154474
Serang City,68.25,68.69,69.43,69.69,70.26,70.51,71.09,71.31,71.68,72.1,72.16,72.44,72.98,73.48,,,,,,,,,,,,,,
Serdang Bedagai,64.67,65.28,66.14,67.11,67.78,68.01,68.77,69.16,69.69,70.21,70.24,70.56,71.21,71.75,194.0597569,190.041747,188.4413438,190.174274,198.5485388,198.1714658,199.9943811,201.7463374,203.4880185,204.8018135,206.3976672,327.4748347,332.5712506,335.0918972
